id;nome;email;telefone
1;reclassify upon splash;Bryan.Oliveira@gmail.com;lest likewise
2;duh because clearly;Isabella38@gmail.com;gee yum
3;bide;Arthur.Reis@bol.com.br;calmly
4;through likewise;Lorenzo.Xavier2@hotmail.com;reprimand good gee
5;furthermore publication;MariaClara7@hotmail.com;lively which
6;who insist pear;Julia_Xavier@hotmail.com;to impanel cop-out
7;minus but;EnzoGabriel_Santos@bol.com.br;but
8;backbone;Tertuliano_Costa@hotmail.com;cone
9;attribute advancement;Bruna.Saraiva@live.com;psst
10;anti;Heitor.Moraes66@gmail.com;after
